cm-1,n
621.9283955078125,1.3464
629.6422636718751,1.335
637.3561318359375,1.3238
645.07,1.3125
652.788109375,1.3016
660.5019775390625,1.2916
668.2158457031251,1.2819
675.9297138671875,1.272
683.64358203125,1.2619
691.3574501953126,1.252
699.071318359375,1.2421
706.7851865234376,1.2328
714.4990546875,1.2235
722.2129228515626,1.2141
729.926791015625,1.204
737.6406591796875,1.1928
745.3545273437501,1.1829
753.0683955078125,1.1724
760.7822636718751,1.1626
768.4961318359375,1.1535
776.21,1.1454
783.9181093750001,1.1385
791.6319775390625,1.1322
799.3458457031251,1.1263
807.0597138671875,1.121
814.77358203125,1.1163
822.4874501953125,1.1129
830.201318359375,1.1102
837.9151865234376,1.1084
845.6290546875,1.1076
853.3429228515625,1.108
861.056791015625,1.1094
868.7706591796875,1.1117
876.4845273437501,1.115
884.1983955078125,1.1191
891.912263671875,1.1239
899.6261318359375,1.1292
907.34,1.1351
915.058109375,1.1414
922.7719775390625,1.1478
930.485845703125,1.1543
938.1997138671875,1.1609
945.91358203125,1.1674
953.6274501953126,1.1737
961.341318359375,1.1799
969.0551865234376,1.1859
976.7690546875,1.1916
984.4829228515625,1.1971
992.196791015625,1.2023
999.9106591796875,1.2072
1007.6245273437501,1.2119
1015.3383955078125,1.2164
1023.052263671875,1.2207
1030.7661318359376,1.2247
1038.48,1.2286
1046.1881093749998,1.2324
1053.9019775390625,1.2359
1061.615845703125,1.2392
1069.3297138671874,1.2424
1077.0435820312498,1.2455
1084.7574501953125,1.2484
1092.471318359375,1.2512
1100.1851865234373,1.2539
1107.8990546875,1.2565
1115.6129228515624,1.259
1123.3267910156248,1.2616
1131.0406591796873,1.2643
1138.75452734375,1.2665
1146.4683955078124,1.2683
1154.1822636718748,1.2701
1161.8961318359375,1.2722
1169.61,1.2741
1177.328109375,1.276
1185.0419775390626,1.2778
1192.755845703125,1.2796
1200.4697138671875,1.2813
1208.18358203125,1.2826
1215.8974501953126,1.2842
1223.611318359375,1.2857
1231.3251865234374,1.2873
1239.0390546875,1.2888
1246.7529228515625,1.2902
1254.466791015625,1.2916
1262.1806591796876,1.2927
1269.89452734375,1.2938
1277.6083955078125,1.2949
1285.322263671875,1.296
1293.0361318359376,1.2971
1300.75,1.2981
1308.458109375,1.2992
1316.1719775390627,1.3003
1323.8858457031251,1.3013
1331.5997138671876,1.3023
1339.31358203125,1.3033
1347.0274501953127,1.3044
1354.741318359375,1.3054
1362.4551865234375,1.3065
1370.1690546875002,1.3075
1377.8829228515626,1.3086
1385.596791015625,1.3096
1393.3106591796877,1.3107
1401.0245273437502,1.3117
1408.7383955078126,1.3128
1416.452263671875,1.3139
1424.1661318359377,1.315
1431.88,1.3161
1439.598109375,1.3173
1447.3119775390626,1.3184
1455.025845703125,1.3196
1462.7397138671874,1.3209
1470.4535820312499,1.3222
1478.1674501953125,1.3236
1485.881318359375,1.325
1493.5951865234374,1.3266
1501.3090546875,1.3282
1509.0229228515625,1.3299
1516.736791015625,1.3318
1524.4506591796876,1.3338
1532.16452734375,1.3359
1539.8783955078125,1.3382
1547.592263671875,1.3408
