cm-1,k
922.7719775390625,0.0948
930.485845703125,0.088
938.1997138671875,0.0819
945.91358203125,0.0766
953.6274501953126,0.072
961.341318359375,0.0678
969.0551865234376,0.0643
976.7690546875,0.0612
984.4829228515625,0.0585
992.196791015625,0.0561
999.9106591796875,0.054
1007.6245273437501,0.0521
1015.3383955078125,0.0504
1023.052263671875,0.049
1030.7661318359376,0.0476
1038.48,0.0464
1046.1881093749998,0.04535
1053.9019775390625,0.04441
1061.615845703125,0.04356
1069.3297138671874,0.04278
1077.0435820312498,0.0421
1084.7574501953125,0.04145
1092.471318359375,0.04085
1100.1851865234373,0.04027
1107.8990546875,0.03972
1115.6129228515624,0.03918
1123.3267910156248,0.03863
1131.0406591796873,0.03848
1138.75452734375,0.03853
1146.4683955078124,0.03849
1154.1822636718748,0.03797
1161.8961318359375,0.03763
1169.61,0.03743
1177.328109375,0.03724
1185.0419775390626,0.03704
1192.755845703125,0.03693
1200.4697138671875,0.03696
1208.18358203125,0.03683
1215.8974501953126,0.03657
1223.611318359375,0.03637
1231.3251865234374,0.03632
1239.0390546875,0.03624
1246.7529228515625,0.03632
1254.466791015625,0.03642
1262.1806591796876,0.0365
1269.89452734375,0.0365
1277.6083955078125,0.03644
1285.322263671875,0.03635
1293.0361318359376,0.03622
1300.75,0.03614
1308.458109375,0.03604
1316.1719775390627,0.03596
1323.8858457031251,0.03584
1331.5997138671876,0.03574
1339.31358203125,0.03562
1347.0274501953127,0.03553
1354.741318359375,0.03543
1362.4551865234375,0.03534
1370.1690546875002,0.03527
1377.8829228515626,0.0352
1385.596791015625,0.03516
1393.3106591796877,0.03511
1401.0245273437502,0.03508
1408.7383955078126,0.03506
1416.452263671875,0.03509
1424.1661318359377,0.03514
1431.88,0.03518
1439.598109375,0.03527
1447.3119775390626,0.03535
1455.025845703125,0.03544
1462.7397138671874,0.03554
1470.4535820312499,0.03573
1478.1674501953125,0.036
1485.881318359375,0.03624
1493.5951865234374,0.03664
1501.3090546875,0.03703
1509.0229228515625,0.03752
1516.736791015625,0.03817
1524.4506591796876,0.03901
1532.16452734375,0.03999
1539.8783955078125,0.0412
1547.592263671875,0.04278
1555.3061318359375,0.04473
1563.02,0.04711
1570.738109375,0.0501
1578.4519775390627,0.0541
1586.1658457031251,0.0593
1593.8797138671875,0.0662
1601.59358203125,0.0753
1609.3074501953126,0.0871
1617.021318359375,0.1013
1624.7351865234375,0.1165
1632.4490546875002,0.1295
1640.1629228515626,0.1366
1647.876791015625,0.1368
1655.5906591796875,0.131
1663.3045273437501,0.1213
1671.0183955078126,0.1091
1678.732263671875,0.0958
1686.4461318359376,0.0823
1694.16,0.0696
1701.868109375,0.05821
1709.5819775390626,0.04862
1717.295845703125,0.04079
1725.0097138671874,0.03455
1732.7235820312499,0.0296
1740.4374501953125,0.02574
1748.151318359375,0.02273
1755.8651865234374,0.02035
1763.5790546875,0.01846
1771.2929228515625,0.01692
1779.006791015625,0.01567
1786.7206591796876,0.01462
1794.43452734375,0.01377
1802.1483955078124,0.01307
1809.8622636718749,0.01249
1817.5761318359375,0.012
1825.29,0.0116
1833.008109375,0.01125
1840.7219775390627,0.01096
1848.435845703125,0.01073
1856.1497138671875,0.01052
1863.86358203125,0.01038
1871.5774501953126,0.01026
1879.291318359375,0.01018
1887.0051865234375,0.01013
1894.7190546875001,0.01011
1902.4329228515626,0.01012
1910.146791015625,0.01016
1917.8606591796874,0.01023
1925.57452734375,0.01034
1933.2883955078125,0.01047
1941.002263671875,0.01064
1948.7161318359376,0.01083
1956.43,0.01105
1964.1381093749999,0.01132
1971.8519775390625,0.0116
1979.565845703125,0.0119
1987.2797138671874,0.01221
1994.9935820312498,0.01255
2002.7074501953125,0.01291
2010.421318359375,0.01327
2018.1351865234374,0.01363
2025.8490546875,0.01399
2033.5629228515625,0.01433
2041.276791015625,0.01469
2048.9906591796876,0.01502
2056.7045273437498,0.01533
2064.4183955078124,0.01562
2072.132263671875,0.01588
2079.8461318359373,0.01609
2087.56,0.01629
2095.278109375,0.01645
2102.991977539062,0.01656
2110.705845703125,0.01662
2118.4197138671875,0.01663
2126.1335820312497,0.0166
2133.8474501953124,0.01652
2141.561318359375,0.01639
2149.2751865234372,0.01622
2156.9890546875,0.016
2164.702922851562,0.01573
2172.4167910156248,0.01545
2180.1306591796874,0.01512
2187.8445273437496,0.01479
2195.5583955078123,0.01442
2203.272263671875,0.01403
2210.986131835937,0.01366
2218.7,0.01326
2226.408109375,0.01287
2234.1219775390623,0.0125
2241.835845703125,0.01211
2249.5497138671876,0.01173
2257.26358203125,0.01136
