cm-1,alpha-n
0.9667910156249988,0.16653165683191057
4.823725097656251,0.3063284772668874
8.680659179687495,0.3330254607516215
12.537593261718747,0.35724037652856266
16.39452734375,0.390216138540156
20.25146142578125,0.4175638607424288
24.1083955078125,0.4454177413807612
27.965329589843748,0.47272019302945373
31.822263671875,0.5023824487540433
35.67919775390625,0.529571571077726
39.536131835937496,0.5571122794067757
43.39306591796875,0.5854767282817134
47.25,0.6142612170311843
51.105186523437496,0.6424060935251875
58.8190546875,0.7014257042273795
66.5329228515625,0.7660528096565802
74.246791015625,0.838993816564535
81.9606591796875,0.9230034228424928
89.67452734375,1.017862973755875
97.3883955078125,1.1230727598832932
105.102263671875,1.234756490074444
112.8161318359375,1.350223319330375
120.53,1.4641486046683359
128.238109375,1.573061807568591
135.9519775390625,1.67225798947596
143.665845703125,1.7584982028698928
151.3797138671875,1.8291666713214225
159.09358203124998,1.8830866280843181
166.8074501953125,1.9195595658501579
174.521318359375,1.9391575351614219
182.2351865234375,1.9432157242116967
189.9490546875,1.934401985860671
197.66292285156248,1.914734963661091
205.376791015625,1.8870323672206744
213.0906591796875,1.8539706395886137
220.80452734375,1.8194735346239779
228.5183955078125,1.7849879384740615
236.232263671875,1.7546290489690275
243.9461318359375,1.7305104350791505
251.66,1.7153879417536249
259.378109375,1.7112269253310854
267.0919775390625,1.7180582926506178
274.805845703125,1.735525945945604
282.51971386718753,1.764951168518312
290.23358203125,1.8039780307996822
297.9474501953125,1.8486393691599563
305.661318359375,1.9024873671544078
313.3751865234375,1.959817323267696
321.08905468750004,2.0223488048109233
328.8029228515625,2.088120852500914
336.516791015625,2.155034987551917
344.2306591796875,2.2274635399502007
351.94452734375,2.2988575735325765
359.6583955078125,2.373453300742452
367.37226367187503,2.44930824267466
375.0861318359375,2.5283672998011415
382.8,2.604361290646514
390.508109375,2.6835771123588725
398.2219775390624,2.761767719169769
405.935845703125,2.8410453545602983
413.6497138671874,2.921533645886803
421.36358203125,3.0010064085789403
429.0774501953125,3.0796114856607915
436.7913183593749,3.159288552118102
444.50518652343743,3.2378086194611075
452.2190546874999,3.319472517730808
459.93292285156247,3.397918153758243
467.64679101562496,3.4791812190014526
475.36065917968745,3.5593035988433606
483.07452734374993,3.6418726532828996
490.7883955078124,3.721259641530894
498.50226367187497,3.802945716254208
506.2161318359375,3.880582421528339
513.93,3.960590987731882
521.6481093750001,4.036666674593146
529.3619775390625,4.112516263588275
537.0758457031251,4.184295326287672
544.7897138671875,4.2519579803735175
552.5035820312501,4.319149830898203
560.2174501953125,4.380261764508503
567.931318359375,4.435602977046155
575.6451865234376,4.487001623974435
583.3590546875,4.544555638739735
591.0729228515626,4.585964175668495
598.786791015625,4.60346203482271
606.5006591796875,4.61380913474503
614.2145273437501,4.620820462711114
621.9283955078125,4.6194684637460846
629.6422636718751,4.6075788257889085
637.3561318359375,4.595918599420823
645.07,4.576761202321315
652.788109375,4.547046793695474
660.5019775390625,4.517050973520348
668.2158457031251,4.491296591274827
675.9297138671875,4.46309540698079
683.64358203125,4.427657306658065
691.3574501953126,4.388133895737201
699.071318359375,4.342353920978353
706.7851865234376,4.295700397868609
714.4990546875,4.249260227536717
722.2129228515626,4.199592491048111
729.926791015625,4.1477768248312215
737.6406591796875,4.080308405890803
745.3545273437501,3.9966913228417766
753.0683955078125,3.9059280687926337
760.7822636718751,3.8006732670134005
768.4961318359375,3.6871260009939055
776.21,3.570725619511442
783.9181093750001,3.450545299746093
791.6319775390625,3.3347704471965454
799.3458457031251,3.21260265836439
807.0597138671875,3.086044696422373
814.77358203125,2.9535962095778516
822.4874501953125,2.8197809394658924
830.201318359375,2.6841785530749327
837.9151865234376,2.5456233846306344
845.6290546875,2.406856392819077
853.3429228515625,2.269334341230975
861.056791015625,2.1336356019725975
868.7706591796875,2.00345625064593
876.4845273437501,1.874401016105799
884.1983955078125,1.7543524805532926
891.912263671875,1.6401214405474298
899.6261318359375,1.5327217678610996
907.34,1.4336747162317267
915.058109375,1.3434379617795424
922.7719775390624,1.2618813516630052
930.485845703125,1.1873777077159722
938.1997138671876,1.121519592444809
945.91358203125,1.0636722622177726
953.6274501953126,1.012269447645624
961.341318359375,0.9666381188514176
969.0551865234376,0.9289310359518986
976.7690546875,0.8955801732470566
984.4829228515624,0.8663007035039502
992.196791015625,0.8406428015767287
999.9106591796876,0.818836031995541
1007.62452734375,0.799473184072916
1015.3383955078124,0.7827528007941219
1023.052263671875,0.7684061264825411
1030.7661318359376,0.7551590474076396
1038.48,0.7439408207011979
1046.1881093749998,0.7347756492858648
1053.9019775390625,0.726938860186974
1061.615845703125,0.720035393903026
1069.3297138671874,0.7141358454780184
1077.0435820312498,0.7097268733629392
1084.7574501953125,0.7053332208439757
1092.471318359375,0.7016527962104009
1100.185186523437,0.6982127821771026
1107.8990546875,0.6948562867073212
1115.6129228515624,0.6915854509758877
1123.3267910156248,0.6880291125218333
1131.0406591796873,0.6915963607714576
1138.75452734375,0.6984493819959827
1146.4683955078124,0.7033215488545208
1154.1822636718748,0.6994634576902848
1161.8961318359377,0.69899852961482
1169.61,0.7008543929000185
1177.328109375,0.7030379324049658
1185.0419775390626,0.7048439623949789
1192.755845703125,0.7082831479975386
1200.4697138671877,0.7144498207278631
1208.18358203125,0.7172997881540247
1215.8974501953126,0.7175399056172712
1223.611318359375,0.7190334770229454
1231.3251865234374,0.723373702131828
1239.0390546875,0.7273375138033688
1246.7529228515623,0.7342117810900612
1254.466791015625,0.741593098968993
1262.1806591796876,0.7484854005556054
