cm-1,absorption
0.9667910156249988,34.15683659766395
4.823725097656251,98.64698330817872
8.680659179687495,128.72539165537532
12.537593261718747,145.16655554007178
16.39452734375,165.30379502675424
20.25146142578125,182.5096642084133
24.1083955078125,199.07827897593688
27.965329589843748,215.00963932932495
31.822263671875,231.83315586250268
35.67919775390625,247.5096144502365
39.536131835937496,263.18607303797035
43.39306591796875,279.11743339135836
47.25,295.30369551040064
51.105186523437496,311.1076049809615
58.8190546875,343.7350309847003
66.5329228515625,378.78402376215394
74.246791015625,417.7839939072478
81.9606591796875,462.51925377956144
89.67452734375,513.3721560275761
97.3883955078125,570.725053299773
105.102263671875,633.1759858850542
112.8161318359375,699.9602484864567
120.53,768.783725213093
128.238109375,838.1170054710378
135.9519775390625,905.538522486576
143.665845703125,969.136513017301
151.3797138671875,1026.8717629379792
159.09358203124998,1077.3423125375125
166.8074501953125,1119.1462021048028
174.521318359375,1151.5187263428872
182.2351865234375,1174.0775326032847
189.9490546875,1187.3324244173036
197.66292285156248,1191.7932053162524
205.376791015625,1188.6069332455747
213.0906591796875,1178.9206661507146
220.80452734375,1165.2834216882145
228.5183955078125,1148.7148069206908
236.232263671875,1132.0187412703403
243.9461318359375,1117.106987979569
251.66,1106.2736629392653
259.378109375,1101.175627626181
267.0919775390625,1102.4501364544521
274.805845703125,1110.0971894240784
282.51971386718753,1125.391295363331
290.23358203125,1147.0579454439387
297.9474501953125,1172.5481220093595
305.661318359375,1204.4108427161357
313.3751865234375,1238.8225810794538
321.08905468750004,1277.0578459275848
328.8029228515625,1317.8421284322583
336.516791015625,1359.9009197652028
344.2306591796875,1405.7832375829603
351.94452734375,1451.665555400718
359.6583955078125,1500.0968908750172
367.37226367187503,1549.8027351775881
375.0861318359375,1602.057597136701
382.8,1653.0379502675428
390.50810937499995,1706.5673210549267
398.22197753906244,1760.0966918423103
405.935845703125,1814.900571457965
413.6497138671874,1870.978959901891
421.36358203124996,1927.0573483458168
429.07745019531245,1983.1357367897429
436.79131835937494,2040.4886340619398
444.50518652343743,2097.8415313341366
452.2190546874999,2157.7434462628753
459.93292285156247,2216.3708523633436
467.64679101562496,2277.5472761203537
475.36065917968745,2338.7236998773637
483.07452734374993,2402.4491412909156
490.7883955078124,2464.9000738761965
498.50226367187497,2529.90002411802
506.21613183593746,2593.6254655315724
513.93,2659.8999246016665
521.6481093750001,2724.8998748434897
529.3619775390625,2791.174333913584
537.0758457031251,2856.174284155407
544.7897138671875,2919.899725568959
552.5035820312501,2984.899675810783
560.2174501953125,3047.3506083960638
567.931318359375,3107.2525233248025
575.6451865234376,3165.8799294252703
583.3590546875,3230.879879667094
591.0729228515626,3286.958268111019
598.786791015625,3330.291568272235
606.5006591796875,3367.2523242920956
614.2145273437501,3401.664062655413
621.9283955078125,3430.977765705648
629.6422636718751,3451.3699069579843
637.3561318359375,3471.762048210321
645.07,3487.056154149573
652.788109375,3493.428698290929
660.5019775390625,3497.2522247757415
668.2158457031251,3503.624768917097
675.9297138671875,3508.722804230181
683.64358203125,3508.722804230181
691.3574501953126,3504.8992777453677
699.071318359375,3495.9777159474706
706.7851865234376,3484.5071364930313
714.4990546875,3473.036557038592
722.2129228515626,3459.01695992761
729.926791015625,3444.997362816629
737.6406591796875,3420.781695079479
745.3545273437501,3378.722903746535
753.0683955078125,3331.566077100506
760.7822636718751,3269.115144515225
768.4961318359375,3196.4681413037756
776.21,3117.448593950971
783.9181093750001,3030.78199362854
791.6319775390625,2945.38990213438
799.3458457031251,2852.350757670594
807.0597138671875,2752.939069065453
814.77358203125,2645.8803274906854
822.4874501953125,2533.723550602833
830.201318359375,2417.743247230168
837.9151865234376,2296.664908544419
845.6290546875,2173.037552202128
853.3429228515625,2048.135687031566
861.056791015625,1923.2338218610037
868.7706591796875,1802.1554831752546
876.4845273437501,1681.0771444895056
884.1983955078125,1567.6458587733828
891.912263671875,1459.3126083703442
899.6261318359375,1357.3519021086606
907.34,1263.0382488166035
915.058109375,1177.0089029083078
922.7719775390625,1099.3913152666016
930.485845703125,1028.6560752975586
938.1997138671875,966.0776918294505
945.91358203125,911.1463613309686
953.6274501953126,862.4601240910147
961.341318359375,819.2542748126262
969.0551865234376,783.313125855383
976.7690546875,751.577856031434
984.4829228515625,723.6661126922982
992.196791015625,699.1955431894941
999.9106591796875,678.293598405849
1007.6245273437501,659.6857695130918
1015.3383955078125,643.4995073940496
1023.052263671875,629.4799102830681
1030.7661318359376,616.6073711175305
1038.48,605.5191443115725
1046.1881093749998,596.2152298651938
1053.9019775390625,588.1858242470863
1061.615845703125,581.0485748087684
1069.3297138671874,574.8034815502402
1077.0435820312498,569.8328971199833
1084.7574501953125,564.9897635725533
1092.471318359375,560.7838844392589
1100.1851865234373,556.8329070716186
1107.8990546875,553.0093805868056
1115.6129228515624,549.3133049848195
1123.3267910156248,545.3623276171792
1131.0406591796873,547.0191890939316
1138.75452734375,551.4799699928802
1146.4683955078124,554.5387911807308
1154.1822636718748,550.7152646959175
1161.8961318359375,549.4407558676465
1169.61,550.0780102817821
1177.328109375,550.9701664615719
1185.0419775390626,551.6074208757074
1192.755845703125,553.5191841181139
1200.4697138671875,557.5976123685812
1208.18358203125,559.2544738453336
1215.8974501953126,558.7446703140253
1223.611318359375,559.2544738453336
1231.3251865234374,561.9309423847028
1239.0390546875,564.3525091584178
1246.7529228515625,569.0681918230206
1254.466791015625,574.1662271361048
1262.1806591796876,579.0093606835349
1269.89452734375,582.4505345198667
1277.6083955078125,585.1270030592358
1285.322263671875,587.0387663016423
